Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
The New York Times,2020-10-15T19:36:53+0000,https://www.nytimes.com/2020/10/15/us/politics/covid-trump-town-hall.html,0, ,0.5,0.5,0.555642,0.54755,0.613818,0.5,0.597859
The New York Times,2020-10-16T01:35:35+0000,https://www.nytimes.com/2020/10/15/us/politics/presidential-town-halls.html,0, ,0.5,0.5,0.5,0.535582,0.710057,0.5,0.531936
The New York Times,2020-10-15T21:26:24+0000,https://www.nytimes.com/2020/10/15/us/politics/chris-christie-face-masks-covid.html,0, ,0.5,0.5,0.502039,0.58047,0.630056,0.5,0.5
The New York Times,2020-10-15T11:00:27+0000,https://www.nytimes.com/2020/10/15/us/politics/virus-stocks-trump-administration.html,0, ,0.5,0.5,0.5,0.5,0.716508,0.5,0.5
The New York Times,2020-10-13T21:37:35+0000,https://www.nytimes.com/2020/10/13/us/politics/joe-biden-florida-voters.html,0, ,0.5,0.522429,0.57628,0.581897,0.5,0.5,0.5
The New York Times,2020-10-14T11:15:31+0000,https://www.nytimes.com/2020/10/14/us/elections/trump-town-hall-nbc.html,0, ,0.5,0.5,0.5,0.5,0.586032,0.5,0.5
The New York Times,2020-10-15T09:00:29+0000,https://www.nytimes.com/2020/10/15/us/politics/navajo-arizona-mail-voting.html,0, ,0.5,0.5,0.5,0.524993,0.559227,0.5,0.5
The New York Times,2020-10-13T11:00:19+0000,https://www.nytimes.com/2020/10/13/us/politics/trump-campaign-fauci-covid.html,0, ,0.5,0.5,0.5,0.569195,0.58393,0.5,0.5
The New York Times,2020-10-12T21:38:22+0000,https://www.nytimes.com/2020/10/12/us/politics/biden-ohio-working-class.html,0, ,0.5,0.5,0.519863,0.541471,0.5,0.5,0.559974
The New York Times,2020-10-11T16:47:44+0000,https://www.nytimes.com/2020/10/11/us/elections/trump-surrogates-deflected-questions-about-the-coronavirus-and-the-debate.html,0, ,0.5,0.5,0.5,0.542641,0.633592,0.5,0.5
The New York Times,2020-10-15T20:32:31+0000,https://www.nytimes.com/2020/10/15/us/elections/could-trump-still-spread-the-coronavirus-probably-not-experts-say.html,0, ,0.5,0.5,0.563822,0.561144,0.5689,0.5,0.61368
The New York Times,2020-10-15T13:52:37+0000,https://www.nytimes.com/2020/10/15/us/elections/biden-staff-coronavirus.html,0, ,0.5,0.5,0.584725,0.5,0.5,0.5,0.5
The New York Times,2020-10-11T13:10:20+0000,https://www.nytimes.com/2020/10/11/us/elections/a-new-poll-shows-little-change-in-the-race-since-trumps-coronavirus-diagnosis.html,0, ,0.5,0.5,0.5,0.5,0.5,0.5,0.5
The New York Times,2020-10-13T13:45:20+0000,https://www.nytimes.com/2020/10/13/us/elections/minnesota-connects-two-dozen-coronavirus-cases-with-campaign-events-most-of-them-visits-by-trump.html,0, ,0.5,0.5,0.5,0.502061,0.5,0.5,0.5
The New York Times,2020-10-13T12:10:28+0000,https://www.nytimes.com/2020/10/13/us/elections/the-white-house-physician-says-trump-has-tested-negative-but-experts-warn-about-trusting-the-results.html,0, ,0.5,0.5,0.508757,0.532844,0.646507,0.5,0.5
The New York Times,2020-10-12T12:04:37+0000,https://www.nytimes.com/2020/10/12/us/elections/can-trump-cede-the-spotlight-to-judge-barretts-hearings.html,0, ,0.5,0.5,0.530244,0.550219,0.664489,0.5,0.740453
The New York Times,2020-10-15T22:41:13+0000,https://www.nytimes.com/2020/10/15/us/elections/chris-christie-says-he-should-have-worn-a-mask-at-white-house-events.html,0, ,0.700232,0.5,0.556643,0.707663,0.61917,0.5,0.5
The New York Times,2020-10-14T20:42:39+0000,https://www.nytimes.com/2020/10/14/world/barron-trump-tested-positive-for-the-virus-but-has-since-tested-negative-melania-trump-says.html,0, ,0.5,0.5,0.574236,0.5,0.512425,0.5,0.5
The New York Times,2020-10-16T12:07:30+0000,https://www.nytimes.com/2020/10/16/us/elections/two-candidates-two-town-halls-two-different-universes.html,0, ,0.5,0.5,0.5,0.5,0.693059,0.5,0.5
The New York Times,2020-10-13T15:20:52+0000,https://www.nytimes.com/2020/10/13/us/elections/dr-fauci-warns-that-a-trump-ad-may-turn-off-a-lot-of-people-by-taking-him-out-of-context.html,0, ,0.5,0.5,0.5,0.54656,0.615747,0.5,0.5
The New York Times,2020-10-11T13:36:58+0000,https://www.nytimes.com/2020/10/11/us/elections/this-weeks-presidential-debate-has-officially-been-canceled.html,0, ,0.5,0.5,0.5,0.5,0.843045,0.5,0.5
The New York Times,2020-10-12T17:28:06+0000,https://www.nytimes.com/2020/10/12/us/elections/as-trump-returns-to-campaigning-his-aides-preview-a-final-sprint.html,0, ,0.5,0.5,0.532734,0.5,0.5,0.5,0.5
The New York Times,2020-10-12T11:01:49+0000,https://www.nytimes.com/2020/10/12/us/politics/jaime-harrison-south-carolina-senate.html,0, ,0.5,0.532602,0.531424,0.544429,0.5,0.5,0.578237
The New York Times,2020-10-13T12:10:30+0000,https://www.nytimes.com/2020/10/13/us/elections/trump-returns-to-the-trail-unchanged-and-in-a-race-that-hasnt-shifted-much-either.html,0, ,0.5,0.657454,0.605719,0.5,0.5,0.5,0.545514
The New York Times,2020-10-11T13:10:22+0000,https://www.nytimes.com/2020/10/11/us/elections/after-refusing-to-participate-in-the-second-presidential-debate-trump-retreats-to-conservative-media-safe-spaces.html,0, ,0.5,0.5,0.524769,0.502698,0.5,0.5,0.5
The New York Times,2020-10-15T21:21:41+0000,https://www.nytimes.com/2020/10/15/us/elections/trump-trails-in-polls-of-florida-and-pennsylvania-home-to-tonights-town-halls.html,0, ,0.5,0.5,0.5,0.544845,0.708601,0.5,0.5
The New York Times,2020-10-17T09:00:04+0000,https://www.nytimes.com/2020/10/17/us/politics/this-week-in-the-2020-race.html,0, ,0.567432,0.5,0.5,0.5,0.580594,0.5,0.5
The New York Times,2020-10-12T19:35:00+0000,https://www.nytimes.com/2020/10/12/us/elections/trump-still-owns-the-news-cycle-but-power-is-rapidly-shifting-to-voters-and-the-courts-in-battleground-states.html,0, ,0.5,0.5,0.5,0.554141,0.5,0.5,0.5
The New York Times,2020-10-14T12:04:11+0000,https://www.nytimes.com/2020/10/14/us/elections/heres-what-to-watch-for-as-questioning-of-barrett-enters-day-2.html,0, ,0.5,0.5,0.5,0.5,0.90358,0.5,0.911078
The New York Times,2020-10-16T00:51:49+0000,https://www.nytimes.com/2020/10/15/us/elections/savannah-guthrie-trump.html,0, ,0.5,0.5,0.500589,0.500669,0.500181,0.5,0.73145
The New York Times,2020-10-14T10:59:44+0000,https://www.nytimes.com/2020/10/14/us/politics/supreme-court-2020-campaign.html,0, ,0.5,0.5,0.518551,0.517225,0.531088,0.5,0.5
The New York Times,2020-10-16T19:48:33+0000,https://www.nytimes.com/2020/10/16/us/elections/climate-change-is-on-the-agenda-for-the-final-biden-trump-debate.html,0, ,0.5,0.5,0.5,0.5,0.767135,0.5,0.5
The New York Times,2020-10-16T14:04:42+0000,https://www.nytimes.com/2020/10/16/us/elections/millions-of-people-have-already-voted-in-the-2020-election.html,0, ,0.5,0.5,0.5,0.564515,0.721611,0.5,0.5
The New York Times,2020-10-15T20:50:18+0000,https://www.nytimes.com/2020/10/15/us/elections/ben-sasse-trump.html,0, ,0.5,0.5,0.521272,0.530847,0.5,0.5,0.635587
The New York Times,2020-10-16T09:00:34+0000,https://www.nytimes.com/2020/10/16/us/politics/trump-biden-town-hall-talk.html,0, ,0.5,0.5,0.570852,0.544107,0.602007,0.5,0.5
The New York Times,2020-10-16T11:00:45+0000,https://www.nytimes.com/2020/10/16/us/politics/town-halls-recap.html,0, ,0.5,0.5,0.527533,0.514678,0.5,0.5,0.616856
The New York Times,2020-10-16T16:00:00+0000,https://www.nytimes.com/2020/10/16/us/elections/michigans-top-elections-official-bans-open-carry-of-guns-at-polling-places.html,0, ,0.542193,0.5,0.5,0.5,0.544253,0.5,0.618182
The New York Times,2020-10-13T12:37:05+0000,https://www.nytimes.com/2020/10/13/us/elections/judge-barrett-is-facing-a-long-day-of-questioning-from-senators-at-her-confirmation-hearing.html,0, ,0.5,0.5,0.5,0.561569,0.647192,0.5,0.5
The New York Times,2020-10-14T17:05:06+0000,https://www.nytimes.com/2020/10/14/us/politics/north-carolina-trump-polls.html,0, ,0.5,0.5,0.5,0.5,0.566195,0.5,0.541369
The New York Times,2020-10-11T16:58:34+0000,https://www.nytimes.com/2020/10/11/us/elections/gov-gretchen-whitmer-says-she-is-concerned-about-the-rise-of-right-wing-armed-groups-in-michigan.html,0, ,0.5,0.57688,0.5,0.5,0.5,0.5,0.5
The New York Times,2020-10-11T13:10:23+0000,https://www.nytimes.com/2020/10/11/us/elections/trump-still-recovering-from-covid-plans-a-return-to-campaign-rallies.html,0, ,0.5,0.5,0.5,0.5,0.5,0.5,0.5
The New York Times,2020-10-13T15:52:15+0000,https://www.nytimes.com/2020/10/13/us/elections/a-north-carolina-poll-shows-biden-and-cal-cunningham-maintaining-narrow-leads.html,0, ,0.5,0.5,0.5,0.506004,0.531364,0.5,0.773735
The New York Times,2020-10-14T01:43:22+0000,https://www.nytimes.com/2020/10/13/us/politics/trump-rally-pennsylvania.html,0, ,0.5,0.5,0.621038,0.516129,0.5,0.5,0.5
The New York Times,2020-10-16T14:21:55+0000,https://www.nytimes.com/2020/10/16/us/elections/the-polls-finally-catch-up-with-the-news-and-still-show-trump-trailing.html,0, ,0.5,0.5,0.511686,0.5,0.704791,0.5,0.5
The New York Times,2020-10-15T12:07:16+0000,https://www.nytimes.com/2020/10/15/us/elections/trump-could-have-had-two-more-debates-to-try-to-alter-the-race-now-he-has-just-one.html,0, ,0.5,0.5,0.5,0.557175,0.586327,0.5,0.842455
The New York Times,2020-10-12T23:00:05+0000,https://www.nytimes.com/2020/10/12/us/politics/republicans-trump-election.html,0, ,0.5,0.5,0.504057,0.539615,0.5,0.5,0.581162
The New York Times,2020-10-14T23:06:33+0000,https://www.nytimes.com/2020/10/14/us/politics/trump-election-polls-trailing.html,0, ,0.5,0.5,0.547179,0.552821,0.5,0.5,0.617155
The New York Times,2020-10-15T23:00:02+0000,https://www.nytimes.com/2020/10/15/us/politics/biden-trump-live-chat.html,0, ,0.5,0.5,0.563894,0.5,0.5,0.5,0.60437
The New York Times,2020-10-11T13:10:20+0000,https://www.nytimes.com/2020/10/11/us/elections/absentee-voting-in-several-key-states-is-favoring-democrats.html,0, ,0.5,0.5,0.5,0.522632,0.5,0.5,0.703294
The New York Times,2020-10-13T22:05:23+0000,https://www.nytimes.com/2020/10/13/us/elections/racist-trolls-zoombombed-a-virtual-campaign-event-held-by-jahana-hayes-connecticuts-first-black-congresswoman.html,0, ,0.5,0.5,0.5,0.508846,0.5,0.5,0.5
